p T H2O CO2
1.052000000000000046e+00 1.985999999999999943e+02 4.877000000000000062e-06 3.280000000000000038e-04
1.092999999999999972e+01 2.333000000000000114e+02 5.899584007897335191e-06 3.699999999999999947e-04
1.088999999999999915e+02 2.706000000000000227e+02 7.479262947356013945e-06 3.699999999999999947e-04
1.197000000000000000e+03 2.265000000000000000e+02 6.139972968431664787e-06 3.750000000000000078e-04
2.549000000000000000e+03 2.215999999999999943e+02 5.350549780735059857e-06 3.750000000000000078e-04
3.467000000000000000e+03 2.195999999999999943e+02 5.002495972325346375e-06 3.750000000000000078e-04
4.729000000000000000e+03 2.175999999999999943e+02 4.647877424365600866e-06 3.750000000000000078e-04
6.467000000000000000e+03 2.165999999999999943e+02 4.288002590423362884e-06 3.750000000000000078e-04
7.565000000000000909e+03 2.165999999999999943e+02 4.110092909618823898e-06 3.750000000000000078e-04
8.850000000000000000e+03 2.165999999999999943e+02 3.932002477990208822e-06 3.750000000000000078e-04
1.035000000000000000e+04 2.165999999999999943e+02 4.242922115941042945e-06 3.750000000000000078e-04
1.416999999999999818e+04 2.165999999999999943e+02 6.483205983013771303e-06 3.770000000000000022e-04
1.940000000000000000e+04 2.165999999999999943e+02 4.535001974333662238e-05 3.789999999999999966e-04
2.650000000000000000e+04 2.233000000000000114e+02 1.519610548727722238e-04 3.800000000000000209e-04
3.565000000000000000e+04 2.361999999999999886e+02 2.231823000580925411e-04 3.800000000000000209e-04
4.722000000000000000e+04 2.491999999999999886e+02 7.922338056022952026e-04 3.800000000000000209e-04
6.166000000000000000e+04 2.621999999999999886e+02 3.253700829273934673e-03 3.800000000000000209e-04
7.950000000000000000e+04 2.751999999999999886e+02 6.619219502963713184e-03 3.800000000000000209e-04
8.988000000000000000e+04 2.816999999999999886e+02 8.040567808671321079e-03 3.800000000000000209e-04
1.023000000000000000e+05 2.881000000000000227e+02 1.152000000000000073e-02 3.800000000000000209e-04
